epoch,policy,chosen,verdict,correct
1,extern,US0->CS0;US0->CS8;US0->CS16;US0->CS24;US0->CS32;US0->CS40;US0->CS48;US0->CS56;US1->CS1;US1->CS9;US1->CS17;US1->CS25;US1->CS33;US1->CS41;US1->CS49;US1->CS57;US2->CS2;US2->CS10;US2->CS18;US2->CS26;US2->CS34;US2->CS42;US2->CS50;US2->CS58;US3->CS3;US3->CS11;US3->CS19;US3->CS27;US3->CS35;US3->CS43;US3->CS51;US3->CS59;US4->CS4;US4->CS12;US4->CS20;US4->CS28;US4->CS36;US4->CS44;US4->CS52;US4->CS60;US5->CS5,-,0
12,extern,US56->CS24;US56->CS32;US56->CS40;US56->CS48;US56->CS56;US57->CS1;US57->CS9;US57->CS17;US57->CS25;US57->CS33;US57->CS41;US57->CS49;US57->CS57;US58->CS2;US58->CS10;US58->CS18;US58->CS26;US58->CS34;US58->CS42;US58->CS50;US58->CS58;US59->CS3;US59->CS11;US59->CS19;US59->CS27;US59->CS35;US59->CS43;US59->CS51;US59->CS59;US60->CS4;US60->CS12;US60->CS20;US60->CS28;US60->CS36;US60->CS44;US60->CS52;US60->CS60;US61->CS5;US61->CS13;US61->CS21;US61->CS29,-,0
13,extern,US61->CS37;US61->CS45;US61->CS53;US61->CS61;US62->CS6;US62->CS14;US62->CS22;US62->CS30;US62->CS38;US62->CS46;US62->CS54;US62->CS62;US63->CS7;US63->CS15;US63->CS23;US63->CS31;US63->CS39;US63->CS47;US63->CS55;US63->CS63;US64->CS0;US64->CS8;US64->CS16;US64->CS24;US64->CS32;US64->CS40;US64->CS48;US64->CS56;US65->CS1;US65->CS9;US65->CS17;US65->CS25;US65->CS33;US65->CS41;US65->CS49;US65->CS57;US66->CS2;US66->CS10;US66->CS18;US66->CS26;US66->CS34,-,0
14,extern,US66->CS42;US66->CS50;US66->CS58;US67->CS3;US67->CS11;US67->CS19;US67->CS27;US67->CS35;US67->CS43;US67->CS51;US67->CS59;US68->CS4;US68->CS12;US68->CS20;US68->CS28;US68->CS36;US68->CS44;US68->CS52;US68->CS60;US69->CS5;US69->CS13;US69->CS21;US69->CS29;US69->CS37;US69->CS45;US69->CS53;US69->CS61;US70->CS6;US70->CS14;US70->CS22;US70->CS30;US70->CS38;US70->CS46;US70->CS54;US70->CS62;US71->CS7;US71->CS15;US71->CS23;US71->CS31;US71->CS39;US71->CS47,-,0
15,extern,US71->CS55;US71->CS63;US72->CS0;US72->CS8;US72->CS16;US72->CS24;US72->CS32;US72->CS40;US72->CS48;US72->CS56;US73->CS1;US73->CS9;US73->CS17;US73->CS25;US73->CS33;US73->CS41;US73->CS49;US73->CS57;US74->CS2;US74->CS10;US74->CS18;US74->CS26;US74->CS34;US74->CS42;US74->CS50;US74->CS58;US75->CS3;US75->CS11;US75->CS19;US75->CS27;US75->CS35;US75->CS43;US75->CS51;US75->CS59;US76->CS4;US76->CS12;US76->CS20;US76->CS28;US76->CS36;US76->CS44;US76->CS52,-,0
16,extern,US76->CS60;US77->CS5;US77->CS13;US77->CS21;US77->CS29;US77->CS37;US77->CS45;US77->CS53;US77->CS61;US78->CS6;US78->CS14;US78->CS22;US78->CS30;US78->CS38;US78->CS46;US78->CS54;US78->CS62;US79->CS7;US79->CS15;US79->CS23;US79->CS31;US79->CS39;US79->CS47;US79->CS55;US79->CS63;US80->CS0;US80->CS8;US80->CS16;US80->CS24;US80->CS32;US80->CS40;US80->CS48;US80->CS56;US81->CS1;US81->CS9;US81->CS17;US81->CS25;US81->CS33;US81->CS41;US81->CS49;US81->CS57,-,0
17,extern,US82->CS2;US82->CS10;US82->CS18;US82->CS26;US82->CS34;US82->CS42;US82->CS50;US82->CS58;US83->CS3;US83->CS11;US83->CS19;US83->CS27;US83->CS35;US83->CS43;US83->CS51;US83->CS59;US84->CS4;US84->CS12;US84->CS20;US84->CS28;US84->CS36;US84->CS44;US84->CS52;US84->CS60;US85->CS5;US85->CS13;US85->CS21;US85->CS29;US85->CS37;US85->CS45;US85->CS53;US85->CS61;US86->CS6;US86->CS14;US86->CS22;US86->CS30;US86->CS38;US86->CS46;US86->CS54;US86->CS62;US87->CS7,-,0
18,extern,US87->CS15;US87->CS23;US87->CS31;US87->CS39;US87->CS47;US87->CS55;US87->CS63;US88->CS0;US88->CS8;US88->CS16;US88->CS24;US88->CS32;US88->CS40;US88->CS48;US88->CS56;US89->CS1;US89->CS9;US89->CS17;US89->CS25;US89->CS33;US89->CS41;US89->CS49;US89->CS57;US90->CS2;US90->CS10;US90->CS18;US90->CS26;US90->CS34;US90->CS42;US90->CS50;US90->CS58;US91->CS3;US91->CS11;US91->CS19;US91->CS27;US91->CS35;US91->CS43;US91->CS51;US91->CS59;US92->CS4;US92->CS12,US89->CS49,1
19,extern,US89->CS49;US92->CS20;US92->CS28;US92->CS36;US92->CS44;US92->CS52;US92->CS60;US93->CS5;US93->CS13;US93->CS21;US93->CS29;US93->CS37;US93->CS45;US93->CS53;US93->CS61;US94->CS6;US94->CS14;US94->CS22;US94->CS30;US94->CS38;US94->CS46;US94->CS54;US94->CS62;US95->CS7;US95->CS15;US95->CS23;US95->CS31;US95->CS39;US95->CS47;US95->CS55;US95->CS63;US96->CS0;US96->CS8;US96->CS16;US96->CS24;US96->CS32;US96->CS40;US96->CS48;US96->CS56;US97->CS1;US97->CS9,-,0
20,extern,US89->CS49;US97->CS17;US97->CS25;US97->CS33;US97->CS41;US97->CS49;US97->CS57;US98->CS2;US98->CS10;US98->CS18;US98->CS26;US98->CS34;US98->CS42;US98->CS50;US98->CS58;US99->CS3;US99->CS11;US99->CS19;US99->CS27;US99->CS35;US99->CS43;US99->CS51;US99->CS59;US100->CS4;US100->CS12;US100->CS20;US100->CS28;US100->CS36;US100->CS44;US100->CS52;US100->CS60;US101->CS5;US101->CS13;US101->CS21;US101->CS29;US101->CS37;US101->CS45;US101->CS53;US101->CS61;US102->CS6;US102->CS14,-,0
21,extern,US89->CS49;US102->CS22;US102->CS30;US102->CS38;US102->CS46;US102->CS54;US102->CS62;US103->CS7;US103->CS15;US103->CS23;US103->CS31;US103->CS39;US103->CS47;US103->CS55;US103->CS63;US104->CS0;US104->CS8;US104->CS16;US104->CS24;US104->CS32;US104->CS40;US104->CS48;US104->CS56;US105->CS1;US105->CS9;US105->CS17;US105->CS25;US105->CS33;US105->CS41;US105->CS49;US105->CS57;US106->CS2;US106->CS10;US106->CS18;US106->CS26;US106->CS34;US106->CS42;US106->CS50;US106->CS58;US107->CS3;US107->CS11,-,0
22,extern,US89->CS49;US107->CS19;US107->CS27;US107->CS35;US107->CS43;US107->CS51;US107->CS59;US108->CS4;US108->CS12;US108->CS20;US108->CS28;US108->CS36;US108->CS44;US108->CS52;US108->CS60;US109->CS5;US109->CS13;US109->CS21;US109->CS29;US109->CS37;US109->CS45;US109->CS53;US109->CS61;US110->CS6;US110->CS14;US110->CS22;US110->CS30;US110->CS38;US110->CS46;US110->CS54;US110->CS62;US111->CS7;US111->CS15;US111->CS23;US111->CS31;US111->CS39;US111->CS47;US111->CS55;US111->CS63;US112->CS0;US112->CS8,US89->CS49,1
23,extern,US89->CS49;US112->CS16;US112->CS24;US112->CS32;US112->CS40;US112->CS48;US112->CS56;US113->CS1;US113->CS9;US113->CS17;US113->CS25;US113->CS33;US113->CS41;US113->CS49;US113->CS57;US114->CS2;US114->CS10;US114->CS18;US114->CS26;US114->CS34;US114->CS42;US114->CS50;US114->CS58;US115->CS3;US115->CS11;US115->CS19;US115->CS27;US115->CS35;US115->CS43;US115->CS51;US115->CS59;US116->CS4;US116->CS12;US116->CS20;US116->CS28;US116->CS36;US116->CS44;US116->CS52;US116->CS60;US117->CS5;US117->CS13,US89->CS49,1
24,extern,US89->CS49;US117->CS21;US117->CS29;US117->CS37;US117->CS45;US117->CS53;US117->CS61;US118->CS6;US118->CS14;US118->CS22;US118->CS30;US118->CS38;US118->CS46;US118->CS54;US118->CS62;US119->CS7;US119->CS15;US119->CS23;US119->CS31;US119->CS39;US119->CS47;US119->CS55;US119->CS63;US120->CS0;US120->CS8;US120->CS16;US120->CS24;US120->CS32;US120->CS40;US120->CS48;US120->CS56;US121->CS1;US121->CS9;US121->CS17;US121->CS25;US121->CS33;US121->CS41;US121->CS49;US121->CS57;US122->CS2;US122->CS10,-,0
25,extern,US89->CS49;US122->CS18;US122->CS26;US122->CS34;US122->CS42;US122->CS50;US122->CS58;US123->CS3;US123->CS11;US123->CS19;US123->CS27;US123->CS35;US123->CS43;US123->CS51;US123->CS59;US124->CS4;US124->CS12;US124->CS20;US124->CS28;US124->CS36;US124->CS44;US124->CS52;US124->CS60;US125->CS5;US125->CS13;US125->CS21;US125->CS29;US125->CS37;US125->CS45;US125->CS53;US125->CS61;US126->CS6;US126->CS14;US126->CS22;US126->CS30;US126->CS38;US126->CS46;US126->CS54;US126->CS62;US127->CS7;US127->CS15,-,0
26,extern,US89->CS49;US127->CS23;US127->CS31;US127->CS39;US127->CS47;US127->CS55;US127->CS63;US0->CS0;US0->CS8;US0->CS16;US0->CS24;US0->CS32;US0->CS40;US0->CS48;US0->CS56;US1->CS1;US1->CS9;US1->CS17;US1->CS25;US1->CS33;US1->CS41;US1->CS49;US1->CS57;US2->CS2;US2->CS10;US2->CS18;US2->CS26;US2->CS34;US2->CS42;US2->CS50;US2->CS58;US3->CS3;US3->CS11;US3->CS19;US3->CS27;US3->CS35;US3->CS43;US3->CS51;US3->CS59;US4->CS4;US4->CS12,-,0
27,extern,US89->CS49;US4->CS20;US4->CS28;US4->CS36;US4->CS44;US4->CS52;US4->CS60;US5->CS5;US5->CS13;US5->CS21;US5->CS29;US5->CS37;US5->CS45;US5->CS53;US5->CS61;US6->CS6;US6->CS14;US6->CS22;US6->CS30;US6->CS38;US6->CS46;US6->CS54;US6->CS62;US7->CS7;US7->CS15;US7->CS23;US7->CS31;US7->CS39;US7->CS47;US7->CS55;US7->CS63;US8->CS0;US8->CS8;US8->CS16;US8->CS24;US8->CS32;US8->CS40;US8->CS48;US8->CS56;US9->CS1;US9->CS9,-,0
28,extern,US89->CS49;US9->CS17;US9->CS25;US9->CS33;US9->CS41;US9->CS49;US9->CS57;US10->CS2;US10->CS10;US10->CS18;US10->CS26;US10->CS34;US10->CS42;US10->CS50;US10->CS58;US11->CS3;US11->CS11;US11->CS19;US11->CS27;US11->CS35;US11->CS43;US11->CS51;US11->CS59;US12->CS4;US12->CS12;US12->CS20;US12->CS28;US12->CS36;US12->CS44;US12->CS52;US12->CS60;US13->CS5;US13->CS13;US13->CS21;US13->CS29;US13->CS37;US13->CS45;US13->CS53;US13->CS61;US14->CS6;US14->CS14,-,0
29,extern,US89->CS49;US14->CS22;US14->CS30;US14->CS38;US14->CS46;US14->CS54;US14->CS62;US15->CS7;US15->CS15;US15->CS23;US15->CS31;US15->CS39;US15->CS47;US15->CS55;US15->CS63;US16->CS0;US16->CS8;US16->CS16;US16->CS24;US16->CS32;US16->CS40;US16->CS48;US16->CS56;US17->CS1;US17->CS9;US17->CS17;US17->CS25;US17->CS33;US17->CS41;US17->CS49;US17->CS57;US18->CS2;US18->CS10;US18->CS18;US18->CS26;US18->CS34;US18->CS42;US18->CS50;US18->CS58;US19->CS3;US19->CS11,-,0
30,extern,US89->CS49;US19->CS19;US19->CS27;US19->CS35;US19->CS43;US19->CS51;US19->CS59;US20->CS4;US20->CS12;US20->CS20;US20->CS28;US20->CS36;US20->CS44;US20->CS52;US20->CS60;US21->CS5;US21->CS13;US21->CS21;US21->CS29;US21->CS37;US21->CS45;US21->CS53;US21->CS61;US22->CS6;US22->CS14;US22->CS22;US22->CS30;US22->CS38;US22->CS46;US22->CS54;US22->CS62;US23->CS7;US23->CS15;US23->CS23;US23->CS31;US23->CS39;US23->CS47;US23->CS55;US23->CS63;US24->CS0;US24->CS8,-,0
31,extern,US89->CS49;US24->CS16;US24->CS24;US24->CS32;US24->CS40;US24->CS48;US24->CS56;US25->CS1;US25->CS9;US25->CS17;US25->CS25;US25->CS33;US25->CS41;US25->CS49;US25->CS57;US26->CS2;US26->CS10;US26->CS18;US26->CS26;US26->CS34;US26->CS42;US26->CS50;US26->CS58;US27->CS3;US27->CS11;US27->CS19;US27->CS27;US27->CS35;US27->CS43;US27->CS51;US27->CS59;US28->CS4;US28->CS12;US28->CS20;US28->CS28;US28->CS36;US28->CS44;US28->CS52;US28->CS60;US29->CS5;US29->CS13,-,0
32,extern,US89->CS49;US29->CS21;US29->CS29;US29->CS37;US29->CS45;US29->CS53;US29->CS61;US30->CS6;US30->CS14;US30->CS22;US30->CS30;US30->CS38;US30->CS46;US30->CS54;US30->CS62;US31->CS7;US31->CS15;US31->CS23;US31->CS31;US31->CS39;US31->CS47;US31->CS55;US31->CS63;US32->CS0;US32->CS8;US32->CS16;US32->CS24;US32->CS32;US32->CS40;US32->CS48;US32->CS56;US33->CS1;US33->CS9;US33->CS17;US33->CS25;US33->CS33;US33->CS41;US33->CS49;US33->CS57;US34->CS2;US34->CS10,-,0
33,extern,US89->CS49;US34->CS18;US34->CS26;US34->CS34;US34->CS42;US34->CS50;US34->CS58;US35->CS3;US35->CS11;US35->CS19;US35->CS27;US35->CS35;US35->CS43;US35->CS51;US35->CS59;US36->CS4;US36->CS12;US36->CS20;US36->CS28;US36->CS36;US36->CS44;US36->CS52;US36->CS60;US37->CS5;US37->CS13;US37->CS21;US37->CS29;US37->CS37;US37->CS45;US37->CS53;US37->CS61;US38->CS6;US38->CS14;US38->CS22;US38->CS30;US38->CS38;US38->CS46;US38->CS54;US38->CS62;US39->CS7;US39->CS15,US89->CS49,1
34,extern,US89->CS49;US39->CS23;US39->CS31;US39->CS39;US39->CS47;US39->CS55;US39->CS63;US40->CS0;US40->CS8;US40->CS16;US40->CS24;US40->CS32;US40->CS40;US40->CS48;US40->CS56;US41->CS1;US41->CS9;US41->CS17;US41->CS25;US41->CS33;US41->CS41;US41->CS49;US41->CS57;US42->CS2;US42->CS10;US42->CS18;US42->CS26;US42->CS34;US42->CS42;US42->CS50;US42->CS58;US43->CS3;US43->CS11;US43->CS19;US43->CS27;US43->CS35;US43->CS43;US43->CS51;US43->CS59;US44->CS4;US44->CS12,US89->CS49,1
35,extern,US89->CS49;US44->CS20;US44->CS28;US44->CS36;US44->CS44;US44->CS52;US44->CS60;US45->CS5;US45->CS13;US45->CS21;US45->CS29;US45->CS37;US45->CS45;US45->CS53;US45->CS61;US46->CS6;US46->CS14;US46->CS22;US46->CS30;US46->CS38;US46->CS46;US46->CS54;US46->CS62;US47->CS7;US47->CS15;US47->CS23;US47->CS31;US47->CS39;US47->CS47;US47->CS55;US47->CS63;US48->CS0;US48->CS8;US48->CS16;US48->CS24;US48->CS32;US48->CS40;US48->CS48;US48->CS56;US49->CS1;US49->CS9,US89->CS49,1
